"word"	"subject"	"session"	"trial"	"age"	"gender"	"hand"	"origin"	"dialect"	"diploma"	"word_status"	"response"	"RT"	"stem"	"RTprev"	"transcription"	"Nphonemes"	"word_class"	"regularity"	"inflected"	"lip"	"lip.ms"	"fip"	"fip.ms"	"Nletters"	"Nstem_syllables"	"Nword_syllables"	"stressed_syll"	"initial_stress"	"final_stress"	"morph_classification"	"word_duration"	"tense"	"number"	"person"	"CELEX_form_freq"	"CELEX_lemma_freq"	"CGN_form_freq"	"CGN_lemma_freq"	"rating"	"word_unknown"	"meaning_unknown"	"affix"	"stem1"	"stem2"	"compound_type"	"CELEX_form_freq_stem1"	"CELEX_lemma_freq_stem1"	"CELEX_form_freq_stem2"	"CELEX_lemma_freq_stem2"	"X"	"one_compound"	"one_prefix"	"one_suffix"	"one_inflection"	"one_circumfix"	"fip_length"	"rcp"	"cob"	"stem_cob"	"include"	"CELEXform_freq"	"CELEXstem_freq"	"CELEXen_form_freq"	"en"	"s"	"only_suffix"	"logCELEXform_freq"	"logCELEXstem_freq"	"logCELEXen_form_freq"	"logRT"	"logRTprev"	"logword_duration"	"logtrial"	"lookup"	"decomp"	"pnlty"	"penalty"	"logSTMfreq"	"logFRMfreq"	"logSTMorFRMfreq"	"logRTprev_c"	"logword_duration_c"	"logtrial_c"	"logSTMfreq_c"	"logFRMfreq_c"	"logSTMorFRMfreq_c"	"logPLfreq"	"groups"
"15"	"luizen"	"s1"	1	15	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	924	"luis"	1360	"lLz@"	4	"nom"	"-"	"yes"	"lLz"	"0.42"	"lLz@"	"0.52"	6	"2"	2	"lL"	"yes"	"no"	"underived"	536	"present"	"plur"	"1,2"	118	16	2	2	3.89333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"lLz"	"2.0"	"2.0"	NA	11422	890	0	1	0	"en"	9.34338414573395	6.79234442747081	0	6.82979373751242	7.21597500265147	6.28599809450886	2.77258872223978	0	1	1	1	6.79234442747081	0	9.34338414573395	0.134628131860036	0.00621111520201811	-2.56340263848034	-1.08457107242472	-3.07035847248969	2.4103612550294	0	"pl_sgDom"
"26"	"klassen"	"s1"	1	26	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	899	"klas"	1613	"klAs@"	5	"nom"	"-"	"yes"	"[end]"	"0.32"	"klAs@"	"0.42"	7	"2"	2	"klA"	"yes"	"no"	"underived"	443	"-"	"plur"	"-"	682	0	141	112	5.02666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"klAs"	"341.0"	"1373.0"	NA	1373341341	1683	0	1	0	"en"	21.0405125431761	7.42892719480227	0	6.80239476332431	7.38647084882989	6.09582456243222	3.29583686600433	0	1	1	1	7.42892719480227	0	21.0405125431761	0.305123978038464	-0.183962416874622	-2.04015449471579	-0.44798830509326	-3.07035847248969	14.1074896524716	0	"pl_sgDom"
"40"	"schappen"	"s1"	1	40	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1357	"schap"	956	"sxAp@"	5	"nom"	"-"	"yes"	"sxAp"	"0.4"	"sxAp@"	"0.47"	8	"2"	2	"sxA"	"yes"	"no"	"underived"	491	"-"	"plur"	"-"	36	0	14	40	4.4	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"sxAp"	"4.0"	"0.0"	NA	324	260	0	1	0	"en"	5.78382518232974	5.56452040732269	0	7.21376830811864	6.86380339145295	6.19847871649231	3.71357206670431	0	1	1	1	5.56452040732269	0	5.78382518232974	-0.217543479338476	-0.081308262814539	-1.62241929401581	-2.31239509257284	-3.07035847248969	-1.14919770837481	0	"pl_sgDom"
"70"	"rapen"	"s1"	1	70	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1077	"raap"	1687	"rap@"	4	"nom"	"-"	"yes"	"[end]"	"0.45"	"rap@"	"0.52"	5	"2"	2	"ra"	"yes"	"no"	"underived"	545	"present"	"plur"	"1,2"	228	594	26	55	4.28	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"rap"	"32.0"	"0.0"	NA	329898	541616	0	1	0	"en"	12.7065418259905	13.2023143885662	0	6.98286275146894	7.4312996751559	6.30261897574491	4.26267987704132	0	1	1	1	13.2023143885662	0	12.7065418259905	0.349952804364473	0.0228319964380583	-1.07331148367881	5.32539888867064	-3.07035847248969	5.77351893528595	0	"pl_sgDom"
"83"	"mijnen"	"s1"	1	83	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	943	"mijn"	763	"mKn@"	4	"nom"	"-"	"yes"	"mKn"	"0.33"	"mKn@"	"0.42"	6	"2"	2	"mK"	"yes"	"no"	"underived"	437	"present"	"plur"	"1,2"	294	0	27	110	3.68	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	4	"mKn"	"0.0"	"0.0"	NA	2110083	1152060	0	1	0	"en"	14.5622383150864	13.957063070225	0	6.8501261661455	6.63856778916652	6.08221891037645	4.43081679884331	0	1	1	1	13.957063070225	0	14.5622383150864	-0.442779081624909	-0.1975680689304	-0.905174561876809	6.08014757032945	-3.07035847248969	7.62921542438183	0	"pl_sgDom"
"254"	"struiken"	"s1"	1	256	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1222	"struik"	815	"strLk@"	6	"nom"	"-"	"yes"	"[end]"	"0.56"	"strLk@"	"0.62"	8	"2"	2	"strL"	"yes"	"no"	"underived"	643	"-"	"plur"	"-"	994	0	57	90	4.62666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"strLk"	"994.0"	"220.0"	NA	994	220	0	1	0	"en"	6.90274273715859	5.39816270151775	0	7.10906213568717	6.70441435496411	6.46769872610435	5.54907608489522	0	1	1	1	5.39816270151775	0	6.90274273715859	-0.376932515827323	0.187911746797507	0.213084724175098	-2.47875279837778	-3.07035847248969	-0.0302801535459576	0	"pl_sgDom"
"265"	"kalkoenen"	"s1"	1	267	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	952	"kalkoen"	971	"kAlkun@"	7	"nom"	"-"	"yes"	"kAlku"	"0.36"	"kAlkun@"	"0.49"	9	"3"	3	"ku"	"no"	"no"	"underived"	507	"-"	"plur"	"-"	62	0	5	24	4.02666666667	"1"	"1"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	7	"kAlkun"	"62.0"	"84.0"	NA	62	84	0	1	0	"en"	4.14313472639153	4.44265125649032	0	6.8596149036542	6.87935580446044	6.23048144757848	5.59098698051086	0	1	1	1	4.44265125649032	0	4.14313472639153	-0.201991066330991	-0.0493055317283648	0.254995619790734	-3.43426424340521	-3.07035847248969	-2.78988816431302	0	"pl_sgDom"
"318"	"lijf"	"s1"	1	320	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	963	"lijf"	1158	"lKf"	3	"nom"	"-"	"yes"	"lKv"	"0.57"	"lKf"	"0.57"	4	"1"	1	"lKf"	"yes"	"yes"	"underived"	591	"-"	"sing"	"-"	2182	2591	131	187	5.69333333333	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	3	"lKf"	"2182.0"	"2182.0"	NA	2182	2182	2182	1	0	"-"	7.68845535654994	7.68845535654994	12.3202313434243	6.87109129461055	7.05531284333975	6.38350663488401	5.77144112313002	1	0	0	0	7.68845535654994	7.68845535654994	7.68845535654994	-0.0260340274516784	0.103719655577159	0.435449762409894	-0.188460143345588	4.61809688406026	0.755432465845393	7.68845535654994	"sg_plDom"
"331"	"vorken"	"s1"	1	333	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	1399	"vork"	1183	"vOrk@"	5	"nom"	"-"	"yes"	"vOrk"	"0.43"	"vOrk@"	"0.55"	6	"2"	2	"vOr"	"yes"	"no"	"underived"	573	"-"	"plur"	"-"	71	0	4	48	4.66666666667	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	5	"vOrk"	"71.0"	"425.0"	NA	71	425	0	1	0	"en"	4.27666611901606	6.05443934626937	0	7.24422751560335	7.07665381544395	6.35262939631957	5.8111409929767	0	1	1	1	6.05443934626937	0	4.27666611901606	-0.0046930553474791	0.07284241701272	0.475149632256579	-1.82247615362616	-3.07035847248969	-2.6563567716885	0	"pl_sgDom"
"342"	"rivieren"	"s1"	1	345	19	"female"	"right"	"noord-brabant"	"no"	"vwo"	"word"	"correct"	863	"rivier"	937	"rivir@"	6	"nom"	"-"	"yes"	"rivi"	"0.497"	"rivir@"	"0.71"	8	"3"	3	"vi"	"no"	"no"	"underived"	727	"-"	"plur"	"-"	521	0	67	301	4.96	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	0	0	0	1	0	6	"rivir"	"521.0"	"2174.0"	NA	49521	2174	0	1	0	"en"	10.810172294265	7.68478394352278	0	6.76157276880406	6.84374994900622	6.59030104819669	5.84643877505772	0	1	1	1	7.68478394352278	0	10.810172294265	-0.237596921785205	0.310514068889839	0.510447414337603	-0.192131556372747	-3.07035847248969	3.8771494035605	0	"pl_sgDom"
